Graph,n,m,diam,weighted?,alpha,implementation,k,b,|E^k|,#constraints,#nonzeros,IP build time,IP solve time,LB,UB,#B&B nodes,#callbacks,callback time,#lazy cuts,solve status #,heuristic time,heuristic obj,total time
LindenStrasse,232,303,13,N,n/a,Thin_I,5,5,12768,9955,54691,0.23,11.28,5900,5900,17,9,0.18,10372,2,0.07,5965,11.60
polbooks,105,441,7,N,n/a,Thin_I,5,5,5316,58800,332282,0.42,407.24,4230,4230,1309,55,5.93,8886,2,0.05,4452,407.74
adjnoun,112,425,5,N,n/a,Thin_I,5,5,6216,168923,974821,1.31,403.29,4850,4850,26,11,5.87,300,2,0.06,4949,404.70
football,115,613,4,N,n/a,Thin_I,5,5,6555,146121,846278,0.92,3600.79,5688,5995,1523,11,24.03,26,9,0.06,5995,3601.84
netscience,1589,2742,1589,N,n/a,Thin_I,5,5,34931,37955,201321,0.82,13.16,15421,15421,1,11,0.35,21708,2,0.36,16642,14.39
jazz,198,2742,6,N,n/a,Thin_I,5,5,19495,6912671,40746989,41.35,3604.95,16594,18121,1,2,1.88,159,9,0.22,18121,3647.83
SmallWorld,233,994,4,N,n/a,Thin_I,5,5,27028,483792,2751352,4.10,122.89,12689,12689,9,4,0.30,6802,2,0.14,12689,127.25
Erdos971,429,1312,11,N,n/a,Thin_I,5,5,79891,958220,5605372,8.61,3600.75,60579,67444,1,4,2.47,47279,9,0.44,67444,3610.04
S.Cerevisae,1458,1948,19,N,n/a,Thin_I,5,5,270717,166861,943230,12.95,409.75,148782,148782,0,4,86.18,281432,2,2.90,148782,425.89
USAir,332,2126,6,N,n/a,Thin_I,5,5,54890,2072094,11901983,19.41,3223.74,34280,34280,15,4,56.54,2783,2,0.27,34280,3243.82
power,4941,6594,46,N,n/a,Thin_I,5,5,185992,144037,777733,41.08,99.85,169121,169121,0,6,37.84,163820,2,39.30,180449,182.15
H.Pylori,706,1392,9,N,n/a,Thin_I,5,5,225276,819227,4788787,14.57,3600.48,109368,173874,0,3,29.28,127024,9,1.01,173874,3616.33
Harvard500,500,2043,6,N,n/a,Thin_I,5,5,124560,1999456,11728596,16.83,2350.87,62117,62117,9,8,20.02,66830,2,0.42,65505,2368.56
homer,542,1619,9,N,n/a,Thin_I,5,5,143902,1892098,11017852,18.40,3601.36,86989,87446,1,4,4.02,28939,9,0.49,87446,3620.67
celegans_metabolic,453,2025,7,N,n/a,Thin_I,5,5,102196,3360543,19523774,24.70,3602.43,73474,83161,0,3,1.16,10348,9,0.62,83161,3628.43
email,1133,5451,8,N,n/a,Thin_I,5,5,631370,15514840,91807040,185.33,3617.06,-1E+100,617078,0,2,2.80,82569,9,3.89,617078,3820.74
hep-th,8361,15751,8361,N,n/a,Thin_I,5,5,3533314,4151526,24199330,778.09,3605.61,-1E+100,3211616,0,2,13.13,2193189,9,79.64,3211616,4468.47
karate,34,78,5,N,n/a,Thin_F,5,5,561,2736,14743,0.03,0.06,45,45,0,3,0.00,9,2,0.00,45,0.10
dolphins,62,159,8,N,n/a,Thin_F,5,5,1717,9086,50720,0.09,1.53,771,771,3,12,0.02,471,2,0.01,837,1.65
lesmis,77,254,5,N,n/a,Thin_F,5,5,2926,15157,82439,0.15,1.88,635,635,6,15,0.04,323,2,0.02,642,2.06
LindenStrasse,232,303,13,N,n/a,Thin_F,5,5,12768,9955,54691,0.20,10.22,5900,5900,9,24,0.71,17264,2,0.07,5965,10.50
polbooks,105,441,7,N,n/a,Thin_F,5,5,5316,58800,332282,0.38,392.29,4230,4230,534,314,3.96,42557,2,0.03,4452,392.73
adjnoun,112,425,5,N,n/a,Thin_F,5,5,6216,168923,974821,1.25,414.83,4850,4850,22,35,0.28,824,2,0.05,4949,416.17
football,115,613,4,N,n/a,Thin_F,5,5,6555,146121,846278,0.96,3601.74,5669,5995,1424,1153,14.44,81662,9,0.05,5995,3602.83
netscience,1589,2742,1589,N,n/a,Thin_F,5,5,34931,37955,201321,0.85,13.15,15421,15421,0,11,2.37,25488,2,0.37,16642,14.41
jazz,198,2742,6,N,n/a,Thin_F,5,5,19495,6912671,40746989,41.13,3605.01,16716,18121,1,18,0.63,967,9,0.19,18121,3647.66
SmallWorld,233,994,4,N,n/a,Thin_F,5,5,27028,483792,2751352,4.13,315.39,12689,12689,5,75,3.66,30476,2,0.11,12689,319.74
Erdos971,429,1312,11,N,n/a,Thin_F,5,5,79891,958220,5605372,8.24,3600.46,60578,67444,0,4,2.60,59344,9,0.42,67444,3609.35
S.Cerevisae,1458,1948,19,N,n/a,Thin_F,5,5,270717,166861,943230,12.79,395.14,148782,148782,0,4,82.40,281432,2,2.91,148782,411.08
USAir,332,2126,6,N,n/a,Thin_F,5,5,54890,2072094,11901983,19.41,3601.39,33951,34280,7,36,3.07,18749,9,0.28,34280,3621.48
power,4941,6594,46,N,n/a,Thin_F,5,5,185992,144037,777733,40.28,99.07,169121,169121,0,6,37.27,163820,2,39.00,180449,179.31
H.Pylori,706,1392,9,N,n/a,Thin_F,5,5,225276,819227,4788787,15.54,3600.44,109368,173874,0,3,29.44,127024,9,0.94,173874,3617.17
Harvard500,500,2043,6,N,n/a,Thin_F,5,5,124560,1999456,11728596,20.27,2111.00,62117,62117,7,33,9.38,92412,2,0.43,65505,2132.14
homer,542,1619,9,N,n/a,Thin_F,5,5,143902,1892098,11017852,18.45,3600.74,87255,87446,0,6,6.30,40021,9,0.49,87446,3620.09
celegans_metabolic,453,2025,7,N,n/a,Thin_F,5,5,102196,3360543,19523774,25.37,3601.55,70232,83161,0,4,1.85,40761,9,0.63,83161,3628.21
email,1133,5451,8,N,n/a,Thin_F,5,5,631370,15514840,91807040,160.27,3619.26,-1E+100,617078,0,2,0.63,82569,9,3.79,617078,3794.98
hep-th,8361,15751,8361,N,n/a,Thin_F,5,5,3533314,4151526,24199330,774.24,3605.54,-1E+100,3211616,0,2,13.06,2193189,9,77.78,3211616,4461.07
karate,34,78,5,N,n/a,R_full,5,5,561,10623,32335,0.11,0.38,45,45,0,n/a,n/a,n/a,2,0.00,45,0.49
dolphins,62,159,8,N,n/a,R_full,5,5,1717,31821,99494,0.17,4.99,771,771,0,n/a,n/a,n/a,2,0.02,837,5.19
lesmis,77,254,5,N,n/a,R_full,5,5,2926,65001,206608,0.27,59.65,635,635,0,n/a,n/a,n/a,2,0.01,642,59.98
LindenStrasse,232,303,13,N,n/a,R_full,5,5,12768,128506,383226,0.68,66.18,5900,5900,0,n/a,n/a,n/a,2,0.08,5965,67.03
polbooks,105,441,7,N,n/a,R_full,5,5,5316,146687,482846,0.63,994.06,4230,4230,532,n/a,n/a,n/a,2,0.04,4452,994.79
adjnoun,112,425,5,N,n/a,R_full,5,5,6216,209816,702801,1.00,3600.12,4775,4949,0,n/a,n/a,n/a,9,0.06,4949,3601.28
football,115,613,4,N,n/a,R_full,5,5,6555,253282,856350,1.11,3600.40,5620,5995,13,n/a,n/a,n/a,9,0.06,5995,3601.66
netscience,1589,2742,1589,N,n/a,R_full,5,5,34931,559813,1750792,11.60,102.00,15421,15421,0,n/a,n/a,n/a,2,0.36,16642,114.55
jazz,198,2742,6,N,n/a,R_full,5,5,19495,1626572,5799325,7.24,3604.46,16715,18121,0,n/a,n/a,n/a,9,0.22,18121,3612.22
SmallWorld,233,994,4,N,n/a,R_full,5,5,27028,917127,3061428,4.42,3806.83,12172,12689,0,n/a,n/a,n/a,9,0.13,12689,3811.48
Erdos971,429,1312,11,N,n/a,R_full,5,5,79891,1583377,5152043,8.09,3601.09,-1E+100,67444,0,n/a,n/a,n/a,9,0.44,67444,3609.83
S.Cerevisae,1458,1948,19,N,n/a,R_full,5,5,270717,2484346,7431280,20.20,554.43,148782,148782,0,n/a,n/a,n/a,2,3.44,148782,579.09
USAir,332,2126,6,N,n/a,R_full,5,5,54890,2237083,7687082,11.88,3601.78,33930,34280,0,n/a,n/a,n/a,9,0.30,34280,3615.13
power,4941,6594,46,N,n/a,R_full,5,5,185992,1807493,5306114,115.97,3602.83,-1E+100,180449,0,n/a,n/a,n/a,9,47.08,180449,3791.62
H.Pylori,706,1392,9,N,n/a,R_full,5,5,225276,2878774,8942868,15.55,3617.09,-1E+100,173874,0,n/a,n/a,n/a,9,1.14,173874,3634.33
Harvard500,500,2043,6,N,n/a,R_full,5,5,124560,4050055,13603104,18.78,3603.18,60057,65505,0,n/a,n/a,n/a,9,0.43,65505,3622.87
homer,542,1619,9,N,n/a,R_full,5,5,143902,3112921,10119513,15.88,3614.01,-1E+100,87446,0,n/a,n/a,n/a,9,0.60,87446,3631.01
celegans_metabolic,453,2025,7,N,n/a,R_full,5,5,102196,3510390,11812690,22.59,3621.44,-1E+100,83161,0,n/a,n/a,n/a,9,0.68,83161,3645.29
email,1133,5451,8,N,n/a,R_full,5,5,631370,23785678,81446583,114.60,3743.57,-1E+100,617078,0,n/a,n/a,n/a,9,3.73,617078,3865.34
karate,34,78,5,N,n/a,Recursive,5,10,561,10623,32335,0.06,0.34,6,6,0,n/a,n/a,n/a,2,0.00,8,0.41
dolphins,62,159,8,N,n/a,Recursive,5,10,1717,31821,99494,0.16,57.02,459,459,276,n/a,n/a,n/a,2,0.02,521,57.23
lesmis,77,254,5,N,n/a,Recursive,5,10,2926,65001,206608,0.31,3.95,180,180,0,n/a,n/a,n/a,2,0.01,180,4.29
LindenStrasse,232,303,13,N,n/a,Recursive,5,10,12768,128506,383226,0.74,46.50,2889,2889,11,n/a,n/a,n/a,2,0.14,2972,47.46
polbooks,105,441,7,N,n/a,Recursive,5,10,5316,146687,482846,0.66,1426.32,2160,2160,397,n/a,n/a,n/a,2,0.09,2921,1427.12
adjnoun,112,425,5,N,n/a,Recursive,5,10,6216,209816,702801,1.16,3650.84,3455,4007,0,n/a,n/a,n/a,9,0.13,4007,3652.17
football,115,613,4,N,n/a,Recursive,5,10,6555,253282,856350,1.15,3600.77,4664,5460,19,n/a,n/a,n/a,9,0.14,5460,3602.11
netscience,1589,2742,1589,N,n/a,Recursive,5,10,34931,559813,1750792,13.21,80.26,10108,10108,0,n/a,n/a,n/a,2,0.88,10549,94.94
jazz,198,2742,6,N,n/a,Recursive,5,10,19495,1626572,5799325,7.37,3601.18,-1E+100,16414,0,n/a,n/a,n/a,9,0.68,16414,3609.40
SmallWorld,233,994,4,N,n/a,Recursive,5,10,27028,917127,3061428,4.26,306.93,6363,6363,0,n/a,n/a,n/a,2,0.32,8009,311.71
Erdos971,429,1312,11,N,n/a,Recursive,5,10,79891,1583377,5152043,8.13,3604.26,-1E+100,58611,0,n/a,n/a,n/a,9,1.97,58611,3614.49
S.Cerevisae,1458,1948,19,N,n/a,Recursive,5,10,270717,2484346,7431280,20.41,449.60,101678,101678,0,n/a,n/a,n/a,2,9.05,101678,479.93
USAir,332,2126,6,N,n/a,Recursive,5,10,54890,2237083,7687082,10.62,3607.18,24031,28649,0,n/a,n/a,n/a,9,0.95,28649,3618.96
power,4941,6594,46,N,n/a,Recursive,5,10,185992,1807493,5306114,116.62,3609.72,-1E+100,175887,0,n/a,n/a,n/a,9,136.53,175887,3885.93
H.Pylori,706,1392,9,N,n/a,Recursive,5,10,225276,2878774,8942868,16.17,3613.53,-1E+100,143178,0,n/a,n/a,n/a,9,3.16,143178,3633.08
Harvard500,500,2043,6,N,n/a,Recursive,5,10,124560,4050055,13603104,20.77,2373.95,26709,26709,0,n/a,n/a,n/a,2,1.19,38580,2396.14
homer,542,1619,9,N,n/a,Recursive,5,10,143902,3112921,10119513,15.03,3600.24,-1E+100,58639,0,n/a,n/a,n/a,9,1.51,58639,3617.09
celegans_metabolic,453,2025,7,N,n/a,Recursive,5,10,102196,3510390,11812690,21.70,3600.79,-1E+100,67719,0,n/a,n/a,n/a,9,2.18,67719,3624.92
email,1133,5451,8,N,n/a,Recursive,5,10,631370,23785678,81446583,117.02,3603.67,-1E+100,599819,0,n/a,n/a,n/a,9,11.43,599819,3735.01
karate,34,78,5,N,n/a,Thin_I,5,10,561,2736,14743,0.04,0.12,6,6,0,3,0.00,8,2,0.01,8,0.17
dolphins,62,159,8,N,n/a,Thin_I,5,10,1717,9086,50720,0.10,9.63,459,459,628,24,0.16,682,2,0.02,521,9.76
lesmis,77,254,5,N,n/a,Thin_I,5,10,2926,15157,82439,0.14,1.39,180,180,6,3,0.01,42,2,0.03,180,1.56
LindenStrasse,232,303,13,N,n/a,Thin_I,5,10,12768,9955,54691,0.20,12.26,2889,2889,88,11,0.22,9537,2,0.13,2972,12.61
polbooks,105,441,7,N,n/a,Thin_I,5,10,5316,58800,332282,0.40,175.61,2160,2160,361,16,2.97,1523,2,0.09,2921,176.12
adjnoun,112,425,5,N,n/a,Thin_I,5,10,6216,168923,974821,1.33,2567.27,3898,3898,653,30,31.90,824,2,0.12,4007,2568.78
football,115,613,4,N,n/a,Thin_I,5,10,6555,146121,846278,1.00,3600.68,4747,5460,1456,23,22.64,71,9,0.15,5460,3601.91
netscience,1589,2742,1589,N,n/a,Thin_I,5,10,34931,37955,201321,0.85,11.57,10108,10108,0,8,0.20,15756,2,0.87,10549,13.33
jazz,198,2742,6,N,n/a,Thin_I,5,10,19495,6912671,40746989,44.32,3604.76,13881,16414,2,2,3.10,159,9,0.74,16414,3651.14
SmallWorld,233,994,4,N,n/a,Thin_I,5,10,27028,483792,2751352,4.31,206.91,6363,6363,5,9,0.16,1183,2,0.34,8009,211.67
Erdos971,429,1312,11,N,n/a,Thin_I,5,10,79891,958220,5605372,8.70,3600.47,40250,58611,0,3,1.67,36785,9,1.53,58611,3610.92
S.Cerevisae,1458,1948,19,N,n/a,Thin_I,5,10,270717,166861,943230,13.07,747.75,101678,101678,0,5,46.58,235978,2,8.74,101678,769.82
USAir,332,2126,6,N,n/a,Thin_I,5,10,54890,2072094,11901983,19.66,3604.04,23485,28649,15,3,97.53,2568,9,0.86,28649,3624.98
power,4941,6594,46,N,n/a,Thin_I,5,10,185992,144037,777733,40.70,142.18,157108,157108,0,11,40.62,162750,2,134.18,175887,318.85
H.Pylori,706,1392,9,N,n/a,Thin_I,5,10,225276,819227,4788787,15.85,3600.49,82441,143178,0,3,27.86,124265,9,3.06,143178,3619.67
Harvard500,500,2043,6,N,n/a,Thin_I,5,10,124560,1999456,11728596,18.02,2130.28,26709,26709,4,7,1.17,26042,2,1.15,38580,2149.89
homer,542,1619,9,N,n/a,Thin_I,5,10,143902,1892098,11017852,19.30,3600.94,46396,58639,0,3,2.52,22198,9,1.38,58639,3622.04
celegans_metabolic,453,2025,7,N,n/a,Thin_I,5,10,102196,3360543,19523774,27.33,3601.54,47865,67719,0,4,1.49,23256,9,2.49,67719,3632.06
email,1133,5451,8,N,n/a,Thin_I,5,10,631370,15514840,91807040,165.94,3617.43,-1E+100,599819,0,2,0.74,82569,9,11.65,599819,3809.14
hep-th,8361,15751,8361,N,n/a,Thin_I,5,10,3533314,4151526,24199330,766.26,3606.16,-1E+100,3001946,0,2,14.83,2193189,9,271.90,3001946,4649.56
karate,34,78,5,N,n/a,Thin_F,5,10,561,2736,14743,0.04,0.12,6,6,0,4,0.00,8,2,0.01,8,0.18
dolphins,62,159,8,N,n/a,Thin_F,5,10,1717,9086,50720,0.09,10.12,459,459,369,212,0.58,2090,2,0.02,521,10.24
lesmis,77,254,5,N,n/a,Thin_F,5,10,2926,15157,82439,0.11,1.15,180,180,3,9,0.03,59,2,0.02,180,1.29
LindenStrasse,232,303,13,N,n/a,Thin_F,5,10,12768,9955,54691,0.27,10.96,2889,2889,13,24,0.69,12571,2,0.18,2972,11.42
polbooks,105,441,7,N,n/a,Thin_F,5,10,5316,58800,332282,0.40,290.45,2160,2160,426,249,1.92,3282,2,0.09,2921,290.95
adjnoun,112,425,5,N,n/a,Thin_F,5,10,6216,168923,974821,1.25,2299.09,3898,3898,364,234,2.26,6852,2,0.13,4007,2300.51
football,115,613,4,N,n/a,Thin_F,5,10,6555,146121,846278,0.95,3600.90,4740,5356,965,935,14.17,116182,9,0.14,5460,3602.06
netscience,1589,2742,1589,N,n/a,Thin_F,5,10,34931,37955,201321,0.82,13.31,10108,10108,0,10,2.14,18336,2,0.86,10549,15.03
jazz,198,2742,6,N,n/a,Thin_F,5,10,19495,6912671,40746989,40.46,3605.76,13964,16414,2,16,0.53,1136,9,0.71,16414,3648.25
SmallWorld,233,994,4,N,n/a,Thin_F,5,10,27028,483792,2751352,4.03,143.88,6363,6363,0,10,0.16,2876,2,0.37,8009,148.39
Erdos971,429,1312,11,N,n/a,Thin_F,5,10,79891,958220,5605372,8.24,3600.44,40250,58611,0,4,3.23,74213,9,1.58,58611,3610.51
S.Cerevisae,1458,1948,19,N,n/a,Thin_F,5,10,270717,166861,943230,12.63,759.73,101678,101678,0,5,46.45,235978,2,8.61,101678,781.18
USAir,332,2126,6,N,n/a,Thin_F,5,10,54890,2072094,11901983,16.63,3601.52,24035,28649,1,40,3.93,21016,9,0.94,28649,3619.49
power,4941,6594,46,N,n/a,Thin_F,5,10,185992,144037,777733,40.32,277.29,157108,157108,8,28,181.09,236168,2,134.63,175887,453.21
H.Pylori,706,1392,9,N,n/a,Thin_F,5,10,225276,819227,4788787,15.33,3600.46,82441,143178,0,3,27.56,124265,9,3.23,143178,3619.26
Harvard500,500,2043,6,N,n/a,Thin_F,5,10,124560,1999456,11728596,16.98,2031.06,26709,26709,0,11,1.97,38115,2,1.15,38580,2049.61
homer,542,1619,9,N,n/a,Thin_F,5,10,143902,1892098,11017852,18.70,3600.89,46396,58639,0,3,2.45,22198,9,1.38,58639,3621.36
celegans_metabolic,453,2025,7,N,n/a,Thin_F,5,10,102196,3360543,19523774,29.20,3601.55,47865,67719,0,5,2.40,48942,9,2.09,67719,3633.49
email,1133,5451,8,N,n/a,Thin_F,5,10,631370,15514840,91807040,160.48,3619.28,-1E+100,599819,0,2,0.85,82569,9,13.45,599819,3804.44
hep-th,8361,15751,8361,N,n/a,Thin_F,5,10,3533314,4151526,24199330,773.61,3605.29,-1E+100,3001946,0,2,13.84,2193189,9,271.18,3001946,4655.25
karate,34,78,5,N,n/a,R_full,5,10,561,10623,32335,0.07,0.37,6,6,0,n/a,n/a,n/a,2,0.01,8,0.45
dolphins,62,159,8,N,n/a,R_full,5,10,1717,31821,99494,0.18,55.12,459,459,276,n/a,n/a,n/a,2,0.02,521,55.35
lesmis,77,254,5,N,n/a,R_full,5,10,2926,65001,206608,0.27,3.88,180,180,0,n/a,n/a,n/a,2,0.01,180,4.20
LindenStrasse,232,303,13,N,n/a,R_full,5,10,12768,128506,383226,0.75,47.72,2889,2889,11,n/a,n/a,n/a,2,0.18,2972,48.72
polbooks,105,441,7,N,n/a,R_full,5,10,5316,146687,482846,0.72,1389.56,2160,2160,397,n/a,n/a,n/a,2,0.10,2921,1390.43
adjnoun,112,425,5,N,n/a,R_full,5,10,6216,209816,702801,1.22,3656.69,3455,4007,0,n/a,n/a,n/a,9,0.16,4007,3658.15
football,115,613,4,N,n/a,R_full,5,10,6555,253282,856350,1.20,3600.69,4664,5460,19,n/a,n/a,n/a,9,0.17,5460,3602.15
netscience,1589,2742,1589,N,n/a,R_full,5,10,34931,559813,1750792,11.63,77.33,10108,10108,0,n/a,n/a,n/a,2,0.85,10549,90.38
jazz,198,2742,6,N,n/a,R_full,5,10,19495,1626572,5799325,8.95,3600.46,-1E+100,16414,0,n/a,n/a,n/a,9,0.70,16414,3610.26
SmallWorld,233,994,4,N,n/a,R_full,5,10,27028,917127,3061428,4.21,298.04,6363,6363,0,n/a,n/a,n/a,2,0.30,8009,302.70
Erdos971,429,1312,11,N,n/a,R_full,5,10,79891,1583377,5152043,8.27,3601.33,-1E+100,58611,0,n/a,n/a,n/a,9,1.83,58611,3611.59
S.Cerevisae,1458,1948,19,N,n/a,R_full,5,10,270717,2484346,7431280,19.09,437.41,101678,101678,0,n/a,n/a,n/a,2,8.71,101678,466.03
USAir,332,2126,6,N,n/a,R_full,5,10,54890,2237083,7687082,10.68,3604.23,24031,28649,0,n/a,n/a,n/a,9,0.89,28649,3616.02
power,4941,6594,46,N,n/a,R_full,5,10,185992,1807493,5306114,109.00,3605.19,-1E+100,175887,0,n/a,n/a,n/a,9,133.43,175887,3871.74
H.Pylori,706,1392,9,N,n/a,R_full,5,10,225276,2878774,8942868,16.54,3615.24,-1E+100,143178,0,n/a,n/a,n/a,9,3.51,143178,3635.56
Harvard500,500,2043,6,N,n/a,R_full,5,10,124560,4050055,13603104,18.18,2378.81,26709,26709,0,n/a,n/a,n/a,2,1.17,38580,2398.41
homer,542,1619,9,N,n/a,R_full,5,10,143902,3112921,10119513,15.46,3601.17,-1E+100,58639,0,n/a,n/a,n/a,9,1.45,58639,3618.35
celegans_metabolic,453,2025,7,N,n/a,R_full,5,10,102196,3510390,11812690,23.91,3601.63,-1E+100,67719,0,n/a,n/a,n/a,9,2.23,67719,3628.04
email,1133,5451,8,N,n/a,R_full,5,10,631370,23785678,81446583,120.24,3604.03,-1E+100,599819,0,n/a,n/a,n/a,9,13.54,599819,3740.65
karate,34,78,5,N,n/a,Recursive,5,15,561,10623,32335,0.05,0.18,0,0,0,n/a,n/a,n/a,2,0.00,0,0.23
dolphins,62,159,8,N,n/a,Recursive,5,15,1717,31821,99494,0.15,38.97,166,166,221,n/a,n/a,n/a,2,0.02,195,39.20
lesmis,77,254,5,N,n/a,Recursive,5,15,2926,65001,206608,0.26,7.40,81,81,0,n/a,n/a,n/a,2,0.03,88,7.71
LindenStrasse,232,303,13,N,n/a,Recursive,5,15,12768,128506,383226,0.69,5.39,1354,1354,0,n/a,n/a,n/a,2,0.15,1411,6.27
polbooks,105,441,7,N,n/a,Recursive,5,15,5316,146687,482846,0.75,1385.11,1467,1467,52,n/a,n/a,n/a,2,0.13,1679,1386.05
adjnoun,112,425,5,N,n/a,Recursive,5,15,6216,209816,702801,1.07,3663.31,2153,3199,0,n/a,n/a,n/a,9,0.21,3199,3664.66
football,115,613,4,N,n/a,Recursive,5,15,6555,253282,856350,1.17,3627.20,3540,4939,0,n/a,n/a,n/a,9,0.40,4939,3628.88
netscience,1589,2742,1589,N,n/a,Recursive,5,15,34931,559813,1750792,12.44,688.27,7758,7758,0,n/a,n/a,n/a,2,1.63,8279,702.98
jazz,198,2742,6,N,n/a,Recursive,5,15,19495,1626572,5799325,7.71,3601.04,11284,15106,0,n/a,n/a,n/a,9,1.72,15106,3610.89
SmallWorld,233,994,4,N,n/a,Recursive,5,15,27028,917127,3061428,4.25,3615.91,4746,5430,0,n/a,n/a,n/a,9,0.60,6219,3621.05
Erdos971,429,1312,11,N,n/a,Recursive,5,15,79891,1583377,5152043,7.62,3603.56,-1E+100,51062,0,n/a,n/a,n/a,9,3.33,51062,3614.65
S.Cerevisae,1458,1948,19,N,n/a,Recursive,5,15,270717,2484346,7431280,19.96,3653.24,78489,79097,0,n/a,n/a,n/a,9,19.94,79373,3694.06
USAir,332,2126,6,N,n/a,Recursive,5,15,54890,2237083,7687082,10.96,558.45,16115,16115,0,n/a,n/a,n/a,2,1.75,16115,571.54
power,4941,6594,46,N,n/a,Recursive,5,15,185992,1807493,5306114,107.40,3611.60,-1E+100,169841,0,n/a,n/a,n/a,9,314.06,169841,4058.14
H.Pylori,706,1392,9,N,n/a,Recursive,5,15,225276,2878774,8942868,14.67,3610.36,-1E+100,113272,0,n/a,n/a,n/a,9,7.00,113272,3632.26
Harvard500,500,2043,6,N,n/a,Recursive,5,15,124560,4050055,13603104,18.85,3605.75,15131,19294,0,n/a,n/a,n/a,9,2.13,19294,3627.01
homer,542,1619,9,N,n/a,Recursive,5,15,143902,3112921,10119513,14.94,3613.30,-1E+100,44906,0,n/a,n/a,n/a,9,2.71,44906,3631.25
celegans_metabolic,453,2025,7,N,n/a,Recursive,5,15,102196,3510390,11812690,22.38,3620.45,-1E+100,48512,0,n/a,n/a,n/a,9,4.16,48512,3647.26
email,1133,5451,8,N,n/a,Recursive,5,15,631370,23785678,81446583,110.99,3614.84,-1E+100,583151,0,n/a,n/a,n/a,9,27.61,583151,3756.35
karate,34,78,5,N,n/a,Thin_I,5,15,561,2736,14743,0.04,0.06,0,0,0,3,0.00,8,2,0.00,0,0.11
dolphins,62,159,8,N,n/a,Thin_I,5,15,1717,9086,50720,0.09,9.29,166,166,349,7,0.08,339,2,0.02,195,9.40
lesmis,77,254,5,N,n/a,Thin_I,5,15,2926,15157,82439,0.11,1.50,81,81,44,3,0.01,27,2,0.02,88,1.64
LindenStrasse,232,303,13,N,n/a,Thin_I,5,15,12768,9955,54691,0.20,5.11,1354,1354,7,9,0.07,6661,2,0.12,1411,5.45
polbooks,105,441,7,N,n/a,Thin_I,5,15,5316,58800,332282,0.37,121.62,1467,1467,217,9,1.54,1320,2,0.09,1679,122.11
adjnoun,112,425,5,N,n/a,Thin_I,5,15,6216,168923,974821,1.34,3600.89,2665,2999,1194,16,46.02,1467,9,0.22,3199,3602.51
football,115,613,4,N,n/a,Thin_I,5,15,6555,146121,846278,1.12,3600.81,3758,4754,668,4,24.71,1,9,0.36,4939,3602.34
netscience,1589,2742,1589,N,n/a,Thin_I,5,15,34931,37955,201321,0.80,10.97,7758,7758,0,10,0.18,14037,2,1.63,8279,13.44
jazz,198,2742,6,N,n/a,Thin_I,5,15,19495,6912671,40746989,40.34,3607.27,11249,15106,5,2,71.69,159,9,1.59,15106,3650.53
SmallWorld,233,994,4,N,n/a,Thin_I,5,15,27028,483792,2751352,4.07,3218.08,4974,4974,276,16,54.11,1265,2,0.64,6219,3222.91
Erdos971,429,1312,11,N,n/a,Thin_I,5,15,79891,958220,5605372,8.15,3600.73,32045,51062,0,3,1.71,37196,9,3.30,51062,3612.40
S.Cerevisae,1458,1948,19,N,n/a,Thin_I,5,15,270717,166861,943230,12.81,1186.04,78746,78746,30,15,42.98,235984,2,17.56,79373,1216.69
USAir,332,2126,6,N,n/a,Thin_I,5,15,54890,2072094,11901983,19.76,3601.48,16013,16115,5,3,0.48,2953,9,1.35,16115,3623.01
power,4941,6594,46,N,n/a,Thin_I,5,15,185992,144037,777733,40.61,113.81,147565,147565,3,10,37.47,160449,2,298.16,169841,454.44
H.Pylori,706,1392,9,N,n/a,Thin_I,5,15,225276,819227,4788787,15.48,3600.45,62589,113272,0,3,21.24,113876,9,6.17,113272,3622.37
Harvard500,500,2043,6,N,n/a,Thin_I,5,15,124560,1999456,11728596,16.68,3402.54,15165,15165,9,16,2.52,28721,2,1.80,19294,3421.44
homer,542,1619,9,N,n/a,Thin_I,5,15,143902,1892098,11017852,18.52,3600.90,30836,44906,0,3,2.60,21927,9,2.28,44906,3622.13
celegans_metabolic,453,2025,7,N,n/a,Thin_I,5,15,102196,3360543,19523774,25.15,3601.48,29153,46764,0,4,1.47,19222,9,4.08,48512,3631.38
email,1133,5451,8,N,n/a,Thin_I,5,15,631370,15514840,91807040,159.27,3616.36,-1E+100,583151,0,2,0.77,82569,9,28.30,583151,3815.91
hep-th,8361,15751,8361,N,n/a,Thin_I,5,15,3533314,4151526,24199330,773.60,3606.80,-1E+100,2815206,0,2,14.04,2193189,9,596.78,2815206,4982.32
karate,34,78,5,N,n/a,Thin_F,5,15,561,2736,14743,0.04,0.04,0,0,0,3,0.00,8,2,0.01,0,0.09
dolphins,62,159,8,N,n/a,Thin_F,5,15,1717,9086,50720,0.07,9.29,166,166,332,229,0.53,704,2,0.01,195,9.39
lesmis,77,254,5,N,n/a,Thin_F,5,15,2926,15157,82439,0.11,1.60,81,81,44,36,0.13,27,2,0.02,88,1.73
LindenStrasse,232,303,13,N,n/a,Thin_F,5,15,12768,9955,54691,0.21,4.27,1354,1354,0,18,0.27,7915,2,0.13,1411,4.63
polbooks,105,441,7,N,n/a,Thin_F,5,15,5316,58800,332282,0.38,128.01,1467,1467,104,72,0.63,4102,2,0.09,1679,128.51
