Graph,n,m,diam,weighted?,alpha,implementation,k,b,|E^k|,#constraints,#nonzeros,IP build time,IP solve time,LB,UB,#B&B nodes,#callbacks,callback time,#lazy cuts,solve status #,heuristic time,heuristic obj,total time
power,4941,6594,46,N,n/a,Path_like,4,15,105233,288073,1065805,48.61,18.38,88312,88312,0,n/a,n/a,n/a,2,301.61,98772,414.67
H.Pylori,706,1392,9,N,n/a,Path_like,4,15,162758,1638453,6427239,21.60,95.87,62589,62589,0,n/a,n/a,n/a,2,6.51,62589,136.15
Harvard500,500,2043,6,N,n/a,Path_like,4,15,119080,3998911,15727506,34.25,252.98,9648,9648,0,n/a,n/a,n/a,2,1.79,11217,300.10
homer,542,1619,9,N,n/a,Path_like,4,15,133947,3784195,14802046,31.18,3602.10,30837,32208,0,n/a,n/a,n/a,9,2.48,32208,3649.14
celegans_metabolic,453,2025,7,N,n/a,Path_like,4,15,100476,6721085,26244858,50.56,3608.14,29153,30093,0,n/a,n/a,n/a,9,4.23,30093,3677.70
hep-th,8361,15751,8361,N,n/a,Path_like,4,15,1340125,8303051,32502380,920.65,1483.06,1043763,1043763,0,n/a,n/a,n/a,2,621.48,1056387,3905.51
karate,34,78,5,N,n/a,Thin_I,4,15,553,1075,5011,0.02,0.04,0,0,0,6,0.00,157,2,0.01,0,0.07
dolphins,62,159,8,N,n/a,Thin_I,4,15,1459,2738,13109,0.04,5.68,157,157,905,21,0.07,931,2,0.02,169,5.74
lesmis,77,254,5,N,n/a,Thin_I,4,15,2899,6406,30695,0.06,1.36,81,81,25,8,0.01,757,2,0.03,88,1.45
LindenStrasse,232,303,13,N,n/a,Thin_I,4,15,7257,3392,16222,0.06,1.41,1069,1069,2,12,0.05,6124,2,0.17,1099,1.65
polbooks,105,441,7,N,n/a,Thin_I,4,15,4685,16153,77723,0.10,47.95,1424,1424,624,29,0.76,4714,2,0.12,1576,48.19
adjnoun,112,425,5,N,n/a,Thin_I,4,15,6178,32972,160390,0.17,894.09,2625,2625,4516,31,7.38,6000,2,0.19,2681,894.47
football,115,613,4,N,n/a,Thin_I,4,15,6555,25182,122483,0.15,3600.32,3864,4748,9798,35,24.00,9821,9,0.28,4748,3600.84
netscience,1589,2742,1589,N,n/a,Thin_I,4,15,22847,14775,70467,0.16,6.73,7130,7130,14,9,0.23,19782,2,1.72,7330,8.63
jazz,198,2742,6,N,n/a,Thin_I,4,15,19336,671489,3308123,3.44,3601.57,11325,14524,40,10,101.66,21578,9,1.67,14545,3606.82
SmallWorld,233,994,4,N,n/a,Thin_I,4,15,27028,122866,588778,0.84,647.45,4737,4737,1040,37,7.82,9803,2,0.49,5428,648.82
Erdos971,429,1312,11,N,n/a,Thin_I,4,15,62059,127433,624586,0.81,3601.03,30907,33530,210,11,40.56,88040,9,3.49,33530,3605.41
S.Cerevisae,1458,1948,19,N,n/a,Thin_I,4,15,117958,42227,201270,0.83,48.27,37906,37906,0,8,4.40,126737,2,17.22,38011,66.45
USAir,332,2126,6,N,n/a,Thin_I,4,15,53447,468884,2289101,3.11,940.06,14605,14605,7,6,0.41,17683,2,1.46,14605,944.74
power,4941,6594,46,N,n/a,Thin_I,4,15,105233,54663,261271,4.51,55.29,88312,88312,1,10,18.41,117353,2,294.57,98772,355.28
H.Pylori,706,1392,9,N,n/a,Thin_I,4,15,162758,108386,527917,1.06,3246.52,62589,62589,43,10,47.84,233424,2,6.25,62589,3253.97
Harvard500,500,2043,6,N,n/a,Thin_I,4,15,119080,221689,1068123,1.62,203.46,9648,9648,0,7,0.46,47808,2,1.83,11217,207.01
homer,542,1619,9,N,n/a,Thin_I,4,15,133947,302329,1484095,1.89,3600.30,26651,32208,2,8,8.57,88967,9,2.35,32208,3604.66
celegans_metabolic,453,2025,7,N,n/a,Thin_I,4,15,100476,564536,2753807,3.09,3602.42,26992,29262,50,9,33.37,71436,9,4.08,30093,3609.79
email,1133,5451,8,N,n/a,Thin_I,4,15,548801,1186389,5852687,7.98,3600.66,216929,473622,0,3,462.83,521984,9,26.87,473622,3636.09
hep-th,8361,15751,8361,N,n/a,Thin_I,4,15,1340125,589752,2875939,19.51,3615.82,286990,1056387,0,3,3321.24,1582320,9,625.59,1056387,4262.84
PGPgiantcompo,10680,24316,24,N,n/a,Thin_I,4,15,4211853,2991130,14695892,69.97,3608.71,641252,2280388,0,3,852.06,3232832,9,1726.59,2280388,5412.03
cond-mat,16726,47594,16726,N,n/a,Thin_I,4,15,7586150,3412618,16716284,122.41,3618.56,1414602,6259473,0,3,634.65,5934096,9,3666.65,6259473,7417.75
karate,34,78,5,N,n/a,Thin_F,4,15,553,1075,5011,0.02,0.02,0,0,0,6,0.00,157,2,0.00,0,0.04
dolphins,62,159,8,N,n/a,Thin_F,4,15,1459,2738,13109,0.03,2.98,157,157,158,134,0.30,1518,2,0.02,169,3.03
lesmis,77,254,5,N,n/a,Thin_F,4,15,2899,6406,30695,0.04,0.96,81,81,11,17,0.04,785,2,0.02,88,1.02
LindenStrasse,232,303,13,N,n/a,Thin_F,4,15,7257,3392,16222,0.04,1.28,1069,1069,1,15,0.19,7035,2,0.13,1099,1.46
polbooks,105,441,7,N,n/a,Thin_F,4,15,4685,16153,77723,0.09,29.91,1424,1424,170,144,1.16,13431,2,0.10,1576,30.10
adjnoun,112,425,5,N,n/a,Thin_F,4,15,6178,32972,160390,0.17,373.32,2625,2625,555,317,3.45,25391,2,0.19,2681,373.70
football,115,613,4,N,n/a,Thin_F,4,15,6555,25182,122483,0.14,3603.53,3809,4748,2288,2115,32.34,393445,9,0.29,4748,3604.04
netscience,1589,2742,1589,N,n/a,Thin_F,4,15,22847,14775,70467,0.21,19.34,7130,7130,10,25,12.76,26188,2,1.71,7330,21.29
jazz,198,2742,6,N,n/a,Thin_F,4,15,19336,671489,3308123,3.43,3604.49,11420,14524,71,96,4.49,57523,9,1.60,14545,3609.68
SmallWorld,233,994,4,N,n/a,Thin_F,4,15,27028,122866,588778,0.78,290.13,4737,4737,99,80,3.01,19827,2,0.50,5428,291.45
Erdos971,429,1312,11,N,n/a,Thin_F,4,15,62059,127433,624586,1.07,3396.26,33530,33530,30,33,8.39,155343,2,4.05,33530,3401.48
S.Cerevisae,1458,1948,19,N,n/a,Thin_F,4,15,117958,42227,201270,0.71,53.82,37906,37906,0,8,4.52,126737,2,18.12,38011,72.78
USAir,332,2126,6,N,n/a,Thin_F,4,15,53447,468884,2289101,3.67,711.44,14605,14605,0,7,1.04,28545,2,1.50,14605,716.72
power,4941,6594,46,N,n/a,Thin_F,4,15,105233,54663,261271,5.40,73.59,88312,88312,0,12,40.08,117645,2,323.05,98772,403.10
H.Pylori,706,1392,9,N,n/a,Thin_F,4,15,162758,108386,527917,1.37,2449.50,62589,62589,0,12,69.05,382722,2,6.61,62589,2457.63
Harvard500,500,2043,6,N,n/a,Thin_F,4,15,119080,221689,1068123,1.75,199.80,9648,9648,0,7,0.73,52986,2,2.11,11217,203.76
homer,542,1619,9,N,n/a,Thin_F,4,15,133947,302329,1484095,2.26,3600.19,27822,32208,0,10,20.10,149410,9,2.47,32208,3605.05
celegans_metabolic,453,2025,7,N,n/a,Thin_F,4,15,100476,564536,2753807,3.21,3092.16,29262,29262,3,23,7.22,143227,2,4.17,30093,3099.72
email,1133,5451,8,N,n/a,Thin_F,4,15,548801,1186389,5852687,8.07,3600.72,216929,473622,0,3,460.28,521984,9,26.62,473622,3635.87
hep-th,8361,15751,8361,N,n/a,Thin_F,4,15,1340125,589752,2875939,20.58,3611.23,286990,1056387,0,3,3352.64,1593132,9,638.24,1056387,4271.78
PGPgiantcompo,10680,24316,24,N,n/a,Thin_F,4,15,4211853,2991130,14695892,74.14,3613.79,641252,2280388,0,3,989.59,3257347,9,1793.66,2280388,5488.48
cond-mat,16726,47594,16726,N,n/a,Thin_F,4,15,7586150,3412618,16716284,134.42,3629.56,1414602,6259473,0,3,639.47,5940173,9,3684.22,6259473,7459.14
karate,34,78,5,N,n/a,Thin,4,15,553,2736,14743,0.06,0.07,0,0,0,n/a,n/a,n/a,2,0.01,0,0.14
dolphins,62,159,8,N,n/a,Thin,4,15,1459,9086,50720,0.07,8.35,157,157,144,n/a,n/a,n/a,2,0.01,169,8.44
lesmis,77,254,5,N,n/a,Thin,4,15,2899,15157,82439,0.11,1.35,81,81,0,n/a,n/a,n/a,2,0.02,88,1.49
LindenStrasse,232,303,13,N,n/a,Thin,4,15,7257,9955,54691,0.20,0.89,1069,1069,0,n/a,n/a,n/a,2,0.14,1099,1.23
polbooks,105,441,7,N,n/a,Thin,4,15,4685,58800,332282,0.45,83.08,1424,1424,112,n/a,n/a,n/a,2,0.10,1576,83.65
adjnoun,112,425,5,N,n/a,Thin,4,15,6178,168923,974821,1.20,1595.91,2625,2625,343,n/a,n/a,n/a,2,0.20,2681,1597.36
football,115,613,4,N,n/a,Thin,4,15,6555,146121,846278,0.94,3600.68,3730,4748,497,n/a,n/a,n/a,9,0.29,4748,3601.96
netscience,1589,2742,1589,N,n/a,Thin,4,15,22847,37955,201321,0.80,6.01,7130,7130,0,n/a,n/a,n/a,2,1.60,7330,8.44
jazz,198,2742,6,N,n/a,Thin,4,15,19336,6912671,40746989,40.30,3607.74,11250,14524,5,n/a,n/a,n/a,9,1.66,14545,3651.03
SmallWorld,233,994,4,N,n/a,Thin,4,15,27028,483792,2751352,3.54,1010.86,4737,4737,140,n/a,n/a,n/a,2,0.50,5428,1015.02
Erdos971,429,1312,11,N,n/a,Thin,4,15,62059,958220,5605372,8.34,3601.39,32458,33530,8,n/a,n/a,n/a,9,3.48,33530,3613.44
S.Cerevisae,1458,1948,19,N,n/a,Thin,4,15,117958,166861,943230,12.63,15.60,37906,37906,0,n/a,n/a,n/a,2,17.19,38011,45.56
USAir,332,2126,6,N,n/a,Thin,4,15,53447,2072094,11901983,19.45,97.49,14605,14605,0,n/a,n/a,n/a,2,1.43,14605,118.80
power,4941,6594,46,N,n/a,Thin,4,15,105233,144037,777733,40.21,13.31,88312,88312,0,n/a,n/a,n/a,2,297.04,98772,351.47
H.Pylori,706,1392,9,N,n/a,Thin,4,15,162758,819227,4788787,15.43,99.81,62589,62589,0,n/a,n/a,n/a,2,6.42,62589,121.86
Harvard500,500,2043,6,N,n/a,Thin,4,15,119080,1999456,11728596,16.95,99.79,9648,9648,0,n/a,n/a,n/a,2,1.87,11217,119.03
homer,542,1619,9,N,n/a,Thin,4,15,133947,1892098,11017852,18.81,3602.93,31135,32208,8,n/a,n/a,n/a,9,2.52,32208,3624.68
celegans_metabolic,453,2025,7,N,n/a,Thin,4,15,100476,3360543,19523774,29.32,766.81,29262,29262,3,n/a,n/a,n/a,2,4.11,30093,800.97
email,1133,5451,8,N,n/a,Thin,4,15,548801,15514840,91807040,163.09,3622.60,-1E+100,473622,0,n/a,n/a,n/a,9,27.12,473622,3827.25
hep-th,8361,15751,8361,N,n/a,Thin,4,15,1340125,4151526,24199330,762.37,990.45,1043763,1043763,0,n/a,n/a,n/a,2,587.41,1056387,2343.01
